model,scenario,Category
AIM/CGE 2.0,SSP1-26,C3
AIM/CGE 2.0,SSP1-34,C5
AIM/CGE 2.0,SSP1-45,C6
AIM/CGE 2.0,SSP1-Baseline,C7
AIM/CGE 2.0,SSP4-26,C3
AIM/CGE 2.0,SSP4-34,C5
AIM/CGE 2.0,SSP4-45,C6
AIM/CGE 2.0,SSP4-Baseline,C7
AIM/CGE 2.1,CD-LINKS_INDC2030i_1600,C5
AIM/CGE 2.1,CD-LINKS_INDCi,C7
AIM/CGE 2.1,CD-LINKS_NDC2030i_1000,C4
AIM/CGE 2.1,CD-LINKS_NPi2020_1000,C3
AIM/CGE 2.1,CD-LINKS_NPi2020_1600,C5
AIM/CGE 2.1,CD-LINKS_NPi2020_400,C1
AIM/CGE 2.1,CO_Bridge,C3
AIM/CGE 2.1,CO_CurPol,C7
AIM/CGE 2.2,EN_INDCi2030_1000f,C3
AIM/CGE 2.2,EN_INDCi2030_1200,C4
AIM/CGE 2.2,EN_INDCi2030_1200f,C4
AIM/CGE 2.2,EN_INDCi2030_1400,C4
AIM/CGE 2.2,EN_INDCi2030_1400f,C4
AIM/CGE 2.2,EN_INDCi2030_1600,C5
AIM/CGE 2.2,EN_INDCi2030_1600f,C5
AIM/CGE 2.2,EN_INDCi2030_1800,C5
AIM/CGE 2.2,EN_INDCi2030_1800f,C5
AIM/CGE 2.2,EN_INDCi2030_800f,C3
AIM/CGE 2.2,EN_INDCi2030_900f,C3
AIM/CGE 2.2,EN_INDCi2100,C6
AIM/CGE 2.2,EN_NPi2020_1000,C3
AIM/CGE 2.2,EN_NPi2020_1000f,C3
AIM/CGE 2.2,EN_NPi2020_1200,C3
AIM/CGE 2.2,EN_NPi2020_1200f,C4
AIM/CGE 2.2,EN_NPi2020_1400,C4
AIM/CGE 2.2,EN_NPi2020_1400f,C4
AIM/CGE 2.2,EN_NPi2020_1600,C5
AIM/CGE 2.2,EN_NPi2020_1600f,C5
AIM/CGE 2.2,EN_NPi2020_1800,C5
AIM/CGE 2.2,EN_NPi2020_1800f,C5
AIM/CGE 2.2,EN_NPi2020_300f,C1
AIM/CGE 2.2,EN_NPi2020_400f,C2
AIM/CGE 2.2,EN_NPi2020_500f,C2
AIM/CGE 2.2,EN_NPi2020_600,C1
AIM/CGE 2.2,EN_NPi2020_600f,C2
AIM/CGE 2.2,EN_NPi2020_700,C3
AIM/CGE 2.2,EN_NPi2020_700f,C3
AIM/CGE 2.2,EN_NPi2020_800,C3
AIM/CGE 2.2,EN_NPi2020_800f,C3
AIM/CGE 2.2,EN_NPi2020_900,C3
AIM/CGE 2.2,EN_NPi2020_900f,C3
AIM/CGE 2.2,EN_NPi2100,C7
COFFEE 1.1,CO_2Deg2020,C4
COFFEE 1.1,CO_2Deg2030,C4
COFFEE 1.1,CO_BAU,C7
COFFEE 1.1,CO_Bridge,C3
COFFEE 1.1,CO_CurPol,C6
COFFEE 1.1,CO_GPP,C5
COFFEE 1.1,CO_NDCplus,C6
COFFEE 1.1,EN_INDCi2030_1000,C4
COFFEE 1.1,EN_INDCi2030_1000_NDCp,C4
COFFEE 1.1,EN_INDCi2030_1000f,C5
COFFEE 1.1,EN_INDCi2030_1200,C4
COFFEE 1.1,EN_INDCi2030_1200f,C5
COFFEE 1.1,EN_INDCi2030_1400,C5
COFFEE 1.1,EN_INDCi2030_1400f,C5
COFFEE 1.1,EN_INDCi2030_1600,C5
COFFEE 1.1,EN_INDCi2030_1600f,C5
COFFEE 1.1,EN_INDCi2030_1800,C5
COFFEE 1.1,EN_INDCi2030_1800f,C5
COFFEE 1.1,EN_INDCi2030_2000,C5
COFFEE 1.1,EN_INDCi2030_2000f,C5
COFFEE 1.1,EN_INDCi2030_2500,C6
COFFEE 1.1,EN_INDCi2030_2500f,C6
COFFEE 1.1,EN_INDCi2030_400f,C2
COFFEE 1.1,EN_INDCi2030_500,C3
COFFEE 1.1,EN_INDCi2030_500f,C2
COFFEE 1.1,EN_INDCi2030_600,C3
COFFEE 1.1,EN_INDCi2030_600_NDCp,C3
COFFEE 1.1,EN_INDCi2030_600f,C4
COFFEE 1.1,EN_INDCi2030_700,C3
COFFEE 1.1,EN_INDCi2030_700f,C4
COFFEE 1.1,EN_INDCi2030_800,C3
COFFEE 1.1,EN_INDCi2030_800f,C4
COFFEE 1.1,EN_INDCi2030_900,C3
COFFEE 1.1,EN_INDCi2030_900f,C4
COFFEE 1.1,EN_INDCi2100,C6
COFFEE 1.1,EN_INDCi2100_COV_NDCp,C6
COFFEE 1.1,EN_NPi2020_1000,C4
COFFEE 1.1,EN_NPi2020_1000f,C5
COFFEE 1.1,EN_NPi2020_1200,C4
COFFEE 1.1,EN_NPi2020_1200f,C5
COFFEE 1.1,EN_NPi2020_1400,C5
COFFEE 1.1,EN_NPi2020_1400f,C5
COFFEE 1.1,EN_NPi2020_1600,C5
COFFEE 1.1,EN_NPi2020_1600f,C5
